Name,Measurement Reference,x,y,z,,,
12.05.1-4,2LaT-9-1,-3.082,5.262,-3.499,,,
12.05.2-2,2LaT-14,-4.143,8.577,-2.499,,,
12.05.2-3,2PoT-2,2.417,5.861,-3.499,,,
12.05.2-4,2LaT-15,-3.765,7.64,-2.499,,,
18.05.1-2,2WhT-9,-4.593,6.957,-3.499,,,
18.05.1-3,2WhT-10,-3.7106,5.515,-3.499,,,
18.05.1-4,2WhT-8-1,-3.521,5.206,-3.499,,,
18.05.2-2,2WhT-11,-5.117,7.83,-3.499,,,
18.05.2-3,2PoT-4,8.16,22.63,-3.499,,,
18.05.2-4,2PoT-3-1,6.148,16.4249,-2.499,,,
18.05.3-2,2ZoT-9,12.786,9.552,-2.8,,,
18.05.3-3,2BT-12,12.87,7.742,-2,,,
18.05.3-4,2BT-13,12.7,5.082,-2,,,
22.05.1-2,2LaT-9-2,-3.082,5.262,-3.499,,,
22.05.1-3,2LaT-10-1,-3.5234,6.084,-3.49,,,
22.05.1-4,2LaT-13-1,-2.821,5.413,-3.499,,,
22.05.2-2,2LaT-16,-3.264,5.61,-3.499,,,
22.05.2-3,2WhB-4,-7.04977,8.21,-6.154,,,
22.05.2-4,2LaB-3,-4.854,10.2,-7.498,,,
22.05.3-2,1MsT-1,30.97,-88.34,5,,,
22.05.3-3,1VsT-1,33.65,-123.14,5,,,
22.05.3-4,1GmT-1,33.66,-113.87,5,,,
23.05.1-2,1SaT-1,20.153,-126,5,,,
23.05.1-3,1MnT-1,19.75,6.22,5,,,
23.05.1-4,1LqT-1,20.98,-116.32,5,,,
23.05.2-2,1MnT-2,19.65,-83.1,5,,,
23.05.2-3,1CrT-1,21.14,-119.8,5,,,
23.05.2-4,1EmT-1,20.57,-110,5,,,
23.05.3-2,1SuT-1,21.24,-121.04,5,,,
23.05.3-3,1SaT-2,18.86,-128.5,5,,,
23.05.3-4,1SuT-2,20.18,-122.55,5,,,
23.05.4-2,1EmT-2,21.98,-112.1,5,,,
23.05.4-3,1SaT-3,18.29,-129.42,5,,,
23.05.4-4,1EmT-3,23.62,-114.49,5,,,
24.05.1-2,1MnT-2,18.44,-98.67,5,,,
24.05.1-3,1MnT-3,19.619,-96.661281,5,,,
24.05.1-4,1MnT-4,18.44,-97.58,5,,,
24.05.2-2,1BnT-1,N/A,N/A,N/A,,,
24.05.2-3,1BnT-2,N/A,N/A,N/A,,,
24.05.2-4,1BnT-3,N/A,N/A,N/A,,,
24.05.3-2,1BnT-4,N/A,N/A,N/A,,,
24.05.3-3,1BnT-5,N/A,N/A,N/A,,,
24.05.3-4,1BnT-6,N/A,N/A,N/A,,,
24.05.4-2,1BnT-7,N/A,N/A,N/A,,,
24.05.4-3,1BnT-8,N/A,N/A,N/A,,,
24.05.4-4,1BnT-9,N/A,N/A,N/A,,,
25.05.1-2,1BsT-1,47.652,-114.109,8,,,
25.05.1-3,1BsT-2,48.09,-118.64,8,,,
25.05.1-4,1BsT-3,47.87,-116.44,8,,,
25.05.2-2,1BsT-4,48.57,-124.66,8,,,
25.05.2-3,1BsT-5,48.25,-120.535,8,,,
25.05.2-4,1BsT-6,48.42,-122.6,8,,,
25.05.3-2,1BsT-7,46.98,-107.02,8,,,
25.05.3-3,1BsT-8,47.42,-111.5,8,,,
25.05.3-4,1BsT-9,47.2,-109.2,8,,,
25.05.4-2,1BsT-10,46.84,-104.668,8,,,
25.05.4-3,1BsT-11,46.449,-100.89,8,,,
25.05.4-4,1BsT-12,46.65,-102.88,8,,,
25.05.5-2,1BsT-13,46.31,-98.78,8,,,
25.05.5-3,1BsT-14,46.13,-97.21,8,,,
25.05.5-4,1BsT-15,45.975,-95.23,8,,,
