"Time","t2shut::sans2d:status"
"12/01/2022, 05:29:54 PM",3
"12/01/2022, 05:30:36 PM",2
"12/01/2022, 05:49:40 PM",3
"12/01/2022, 05:50:18 PM",1
"12/01/2022, 08:46:00 PM",3
"12/01/2022, 08:46:43 PM",2
"12/01/2022, 09:27:16 PM",3
"12/01/2022, 09:27:47 PM",1
"12/01/2022, 09:48:04 PM",3
"12/01/2022, 09:48:45 PM",2
"12/01/2022, 09:52:18 PM",3
"12/01/2022, 09:52:55 PM",1
"12/01/2022, 10:23:19 PM",3
"12/01/2022, 10:24:01 PM",2
"12/01/2022, 10:44:07 PM",3
"12/01/2022, 10:44:41 PM",1
"12/02/2022, 09:15:57 AM",4
"12/02/2022, 09:16:00 AM",3
"12/02/2022, 09:16:42 AM",2
"12/02/2022, 10:19:07 AM",3
"12/02/2022, 10:19:41 AM",1
"12/02/2022, 11:17:13 AM",3
"12/02/2022, 11:17:58 AM",2
"12/02/2022, 11:53:57 AM",3
"12/02/2022, 11:54:35 AM",1
"12/02/2022, 12:31:54 PM",3
"12/02/2022, 12:32:40 PM",2
"12/02/2022, 12:41:47 PM",3
"12/02/2022, 12:42:24 PM",1
"12/02/2022, 03:27:36 PM",3
"12/02/2022, 03:28:15 PM",2
"12/02/2022, 04:00:10 PM",3
"12/02/2022, 04:00:43 PM",1
"12/02/2022, 04:37:40 PM",3
"12/02/2022, 04:38:21 PM",2
"12/02/2022, 04:49:02 PM",3
"12/02/2022, 04:49:38 PM",1
"12/02/2022, 05:54:18 PM",3
"12/02/2022, 05:54:51 PM",2
"12/02/2022, 06:47:04 PM",3
"12/02/2022, 06:47:42 PM",1
"12/02/2022, 07:45:39 PM",3
"12/02/2022, 07:46:17 PM",2
"12/02/2022, 07:59:23 PM",3
"12/02/2022, 07:59:57 PM",1
"12/03/2022, 08:27:31 AM",3
"12/03/2022, 08:28:17 AM",2
"12/03/2022, 08:39:40 AM",3
"12/03/2022, 08:40:19 AM",1
"12/03/2022, 09:12:27 AM",3
"12/03/2022, 09:13:08 AM",2
"12/03/2022, 09:23:42 AM",3
"12/03/2022, 09:24:17 AM",1
"12/03/2022, 11:25:27 AM",3
"12/03/2022, 11:26:09 AM",2
"12/03/2022, 11:32:12 AM",3
"12/03/2022, 11:32:48 AM",1
"12/03/2022, 12:13:49 PM",3
"12/03/2022, 12:14:32 PM",2
"12/03/2022, 12:32:06 PM",3
"12/03/2022, 12:32:43 PM",1
"12/03/2022, 01:30:06 PM",3
"12/03/2022, 01:30:50 PM",2
"12/03/2022, 01:38:25 PM",3
"12/03/2022, 01:39:00 PM",1
"12/03/2022, 02:56:44 PM",3
"12/03/2022, 02:57:20 PM",2
"12/03/2022, 03:14:47 PM",3
"12/03/2022, 03:15:23 PM",1
"12/03/2022, 03:42:22 PM",3
"12/03/2022, 03:42:57 PM",2
"12/03/2022, 03:51:27 PM",3
"12/03/2022, 03:52:05 PM",1
"12/03/2022, 03:52:29 PM",4
"12/03/2022, 03:52:32 PM",3
"12/03/2022, 03:53:11 PM",2
"12/03/2022, 03:57:22 PM",3
"12/03/2022, 03:57:53 PM",1
"12/03/2022, 04:41:29 PM",3
"12/03/2022, 04:42:08 PM",2
"12/03/2022, 04:47:46 PM",3
"12/03/2022, 04:48:20 PM",1
"12/03/2022, 05:14:54 PM",3
"12/03/2022, 05:15:36 PM",2
"12/03/2022, 06:04:32 PM",3
"12/03/2022, 06:05:07 PM",1
