"Time","t2shut::e6:status"
"11/25/2022, 11:02:09 AM",4
"11/25/2022, 11:02:11 AM",3
"11/25/2022, 11:02:48 AM",2
"11/25/2022, 11:08:27 AM",3
"11/25/2022, 11:08:57 AM",1
"11/25/2022, 01:59:13 PM",3
"11/25/2022, 01:59:48 PM",2
"11/25/2022, 05:20:06 PM",3
"11/25/2022, 05:20:36 PM",1
"11/26/2022, 09:29:40 AM",3
"11/26/2022, 09:30:17 AM",2
"11/26/2022, 09:33:50 AM",3
"11/26/2022, 09:34:19 AM",1
"11/26/2022, 06:22:47 PM",3
"11/26/2022, 06:23:24 PM",2
"11/26/2022, 06:54:57 PM",3
"11/26/2022, 06:55:27 PM",1
"11/26/2022, 07:40:14 PM",3
"11/26/2022, 07:40:50 PM",2
"11/26/2022, 08:14:24 PM",3
"11/26/2022, 08:14:55 PM",1
"11/26/2022, 09:46:18 PM",3
"11/26/2022, 09:46:54 PM",2
"11/26/2022, 09:51:00 PM",3
"11/26/2022, 09:51:31 PM",1
"11/26/2022, 10:46:56 PM",3
"11/26/2022, 10:47:26 PM",2
"11/26/2022, 10:52:35 PM",3
"11/26/2022, 10:53:03 PM",1
"11/26/2022, 11:31:34 PM",3
"11/26/2022, 11:32:11 PM",2
"11/27/2022, 12:05:28 AM",3
"11/27/2022, 12:05:58 AM",1
"11/27/2022, 07:35:28 AM",4
"11/27/2022, 07:35:30 AM",3
"11/27/2022, 07:36:07 AM",2
"11/27/2022, 07:38:17 AM",3
"11/27/2022, 07:38:47 AM",1
"11/27/2022, 07:52:54 AM",3
"11/27/2022, 07:53:31 AM",2
"11/27/2022, 08:05:59 AM",3
"11/27/2022, 08:06:30 AM",1
"11/27/2022, 01:33:01 PM",3
"11/27/2022, 01:33:38 PM",2
"11/27/2022, 01:44:54 PM",3
"11/27/2022, 01:45:25 PM",1
"11/27/2022, 01:55:50 PM",3
"11/27/2022, 01:56:26 PM",2
"11/27/2022, 03:10:41 PM",3
"11/27/2022, 03:11:12 PM",1
"11/27/2022, 03:29:55 PM",3
"11/27/2022, 03:30:32 PM",2
"11/27/2022, 04:18:53 PM",3
"11/27/2022, 04:19:23 PM",1
"11/27/2022, 05:32:43 PM",3
"11/27/2022, 05:33:19 PM",2
"11/27/2022, 05:34:44 PM",3
"11/27/2022, 05:35:14 PM",1
"11/27/2022, 07:15:37 PM",3
"11/27/2022, 07:16:12 PM",2
"11/27/2022, 07:21:43 PM",3
"11/27/2022, 07:22:13 PM",1
"11/27/2022, 07:58:15 PM",3
"11/27/2022, 07:58:53 PM",2
"11/27/2022, 08:00:30 PM",3
"11/27/2022, 08:01:00 PM",1
"11/27/2022, 10:26:44 PM",3
"11/27/2022, 10:27:22 PM",2
"11/27/2022, 10:28:36 PM",3
"11/27/2022, 10:29:04 PM",1
"11/28/2022, 08:14:00 AM",3
"11/28/2022, 08:14:37 AM",2
"11/28/2022, 08:17:56 AM",3
"11/28/2022, 08:18:28 AM",1
"11/28/2022, 09:06:55 AM",4
"11/28/2022, 09:06:57 AM",3
"11/28/2022, 09:07:34 AM",2
"11/28/2022, 10:59:07 AM",3
"11/28/2022, 10:59:39 AM",1
"11/28/2022, 12:32:24 PM",3
"11/28/2022, 12:32:55 PM",2
"11/28/2022, 12:45:37 PM",3
"11/28/2022, 12:46:07 PM",1
"11/28/2022, 02:42:10 PM",3
"11/28/2022, 02:42:41 PM",2
"11/28/2022, 03:23:01 PM",3
"11/28/2022, 03:23:29 PM",1
"11/28/2022, 04:24:49 PM",3
"11/28/2022, 04:25:17 PM",2
"11/28/2022, 04:33:28 PM",3
"11/28/2022, 04:33:59 PM",1
"11/28/2022, 05:39:03 PM",3
"11/28/2022, 05:39:40 PM",2
