"Time","t2shut::e1:status"
"11/26/2022, 09:37:19 PM",3
"11/26/2022, 09:37:58 PM",1
"11/27/2022, 04:08:36 AM",3
"11/27/2022, 04:08:52 AM",2
"11/27/2022, 04:42:12 AM",3
"11/27/2022, 04:42:51 AM",1
"11/27/2022, 05:29:01 AM",3
"11/27/2022, 05:29:16 AM",2
"11/27/2022, 05:46:57 AM",3
"11/27/2022, 05:47:34 AM",1
"11/27/2022, 06:26:01 AM",3
"11/27/2022, 06:26:16 AM",2
"11/27/2022, 06:42:06 AM",3
"11/27/2022, 06:42:43 AM",1
"11/27/2022, 07:53:34 AM",3
"11/27/2022, 07:53:49 AM",2
"11/27/2022, 08:24:06 AM",3
"11/27/2022, 08:24:40 AM",1
"11/27/2022, 09:09:34 AM",3
"11/27/2022, 09:09:49 AM",2
"11/27/2022, 09:24:22 AM",3
"11/27/2022, 09:24:59 AM",1
"11/27/2022, 10:37:58 AM",3
"11/27/2022, 10:38:11 AM",2
"11/27/2022, 03:20:02 PM",3
"11/27/2022, 03:20:39 PM",1
"11/27/2022, 03:48:49 PM",3
"11/27/2022, 03:49:04 PM",2
"11/27/2022, 03:51:31 PM",3
"11/27/2022, 03:52:08 PM",1
"11/28/2022, 09:16:14 AM",3
"11/28/2022, 09:16:29 AM",2
"11/28/2022, 09:31:27 AM",3
"11/28/2022, 09:32:05 AM",1
"11/28/2022, 11:15:33 AM",3
"11/28/2022, 11:15:48 AM",2
"11/28/2022, 11:20:47 AM",4
"11/28/2022, 11:21:26 AM",1
"11/28/2022, 02:26:07 PM",3
"11/28/2022, 02:26:22 PM",2
"11/28/2022, 02:27:14 PM",4
"11/28/2022, 02:27:50 PM",1
"11/28/2022, 04:38:09 PM",3
"11/28/2022, 04:38:22 PM",2
"11/28/2022, 04:42:44 PM",3
"11/28/2022, 04:43:23 PM",1
"11/29/2022, 10:41:36 AM",3
"11/29/2022, 10:41:49 AM",2
"11/29/2022, 10:52:46 AM",3
"11/29/2022, 10:53:21 AM",1
"11/29/2022, 04:14:32 PM",3
"11/29/2022, 04:14:47 PM",2
"11/29/2022, 04:22:42 PM",3
"11/29/2022, 04:23:18 PM",1
"11/30/2022, 02:30:22 PM",3
"11/30/2022, 02:30:35 PM",2
"11/30/2022, 02:35:25 PM",3
"11/30/2022, 02:36:01 PM",1
"12/01/2022, 08:36:04 AM",3
"12/01/2022, 08:36:19 AM",2
"12/01/2022, 09:03:45 AM",3
"12/01/2022, 09:04:23 AM",1
"12/01/2022, 10:49:01 AM",3
"12/01/2022, 10:49:15 AM",2
"12/01/2022, 10:59:33 AM",3
"12/01/2022, 11:00:11 AM",1
