"Time","t2shut::wish:status"
"12/07/2022, 03:17:39 PM",1
"12/07/2022, 04:24:34 PM",3
"12/07/2022, 04:25:00 PM",2
"12/08/2022, 01:34:06 AM",3
"12/08/2022, 01:34:44 AM",1
"12/08/2022, 06:07:48 AM",3
"12/08/2022, 06:08:12 AM",2
"12/08/2022, 07:18:11 AM",3
"12/08/2022, 07:18:48 AM",1
"12/08/2022, 10:51:46 AM",3
"12/08/2022, 10:52:10 AM",2
"12/08/2022, 11:10:36 AM",3
"12/08/2022, 11:11:13 AM",1
"12/08/2022, 01:30:46 PM",3
"12/08/2022, 01:31:10 PM",2
"12/08/2022, 02:28:12 PM",3
"12/08/2022, 02:28:51 PM",1
"12/08/2022, 06:00:05 PM",3
"12/08/2022, 06:00:30 PM",2
"12/08/2022, 06:26:06 PM",3
"12/08/2022, 06:26:46 PM",1
"12/08/2022, 08:41:37 PM",3
"12/08/2022, 08:42:03 PM",2
"12/08/2022, 09:10:38 PM",3
"12/08/2022, 09:11:15 PM",1
"12/08/2022, 11:33:06 PM",3
"12/08/2022, 11:33:30 PM",2
"12/08/2022, 11:47:09 PM",3
"12/08/2022, 11:47:46 PM",1
"12/09/2022, 12:18:29 AM",4
"12/09/2022, 12:18:32 AM",3
"12/09/2022, 12:18:56 AM",2
"12/09/2022, 12:22:22 AM",3
"12/09/2022, 12:23:01 AM",1
"12/09/2022, 02:32:59 AM",4
"12/09/2022, 02:33:02 AM",3
"12/09/2022, 02:33:26 AM",2
"12/09/2022, 03:49:43 AM",3
"12/09/2022, 03:50:21 AM",1
"12/09/2022, 05:49:13 AM",3
"12/09/2022, 05:49:37 AM",2
"12/09/2022, 05:54:51 AM",3
"12/09/2022, 05:55:30 AM",1
"12/09/2022, 07:26:20 AM",3
"12/09/2022, 07:26:44 AM",2
"12/09/2022, 09:59:31 AM",3
"12/09/2022, 10:00:03 AM",1
"12/09/2022, 11:15:49 AM",3
"12/09/2022, 11:16:15 AM",2
"12/09/2022, 11:54:20 AM",3
"12/09/2022, 11:55:05 AM",1
"12/09/2022, 01:12:20 PM",3
"12/09/2022, 01:12:49 PM",2
"12/09/2022, 01:26:50 PM",3
"12/09/2022, 01:27:26 PM",1
"12/09/2022, 03:16:01 PM",3
"12/09/2022, 03:16:34 PM",2
"12/09/2022, 03:32:57 PM",3
"12/09/2022, 03:33:33 PM",1
"12/10/2022, 08:58:32 AM",3
"12/10/2022, 08:58:55 AM",2
"12/10/2022, 09:06:58 AM",3
"12/10/2022, 09:07:37 AM",1
"12/10/2022, 10:30:28 AM",3
"12/10/2022, 10:30:52 AM",2
"12/10/2022, 11:09:21 AM",3
"12/10/2022, 11:09:59 AM",1
"12/10/2022, 10:32:24 PM",3
"12/10/2022, 10:32:49 PM",2
"12/10/2022, 11:48:17 PM",3
"12/10/2022, 11:48:57 PM",1
"12/11/2022, 09:35:55 AM",3
"12/11/2022, 09:36:20 AM",2
"12/11/2022, 10:02:05 AM",3
"12/11/2022, 10:02:44 AM",1
"12/11/2022, 01:18:14 PM",3
"12/11/2022, 01:18:40 PM",2
"12/11/2022, 02:12:52 PM",3
"12/11/2022, 02:13:32 PM",1
"12/12/2022, 02:15:20 PM",3
"12/12/2022, 02:15:45 PM",2
"12/12/2022, 02:39:50 PM",3
"12/12/2022, 02:40:27 PM",1
"12/12/2022, 03:16:05 PM",3
"12/12/2022, 03:16:31 PM",2
"12/12/2022, 03:29:17 PM",3
"12/12/2022, 03:29:56 PM",1
"12/13/2022, 09:03:46 AM",3
"12/13/2022, 09:04:09 AM",2
"12/13/2022, 09:31:03 AM",3
"12/13/2022, 09:31:40 AM",1
"12/13/2022, 09:44:27 AM",3
"12/13/2022, 09:44:52 AM",2
"12/13/2022, 11:36:00 AM",3
"12/13/2022, 11:36:37 AM",1
"12/13/2022, 11:52:13 AM",3
"12/13/2022, 11:52:36 AM",2
"12/13/2022, 12:20:03 PM",3
"12/13/2022, 12:20:40 PM",1
"12/13/2022, 02:42:44 PM",3
"12/13/2022, 02:43:10 PM",2
"12/13/2022, 03:06:31 PM",3
"12/13/2022, 03:07:08 PM",1
"12/15/2022, 08:21:49 AM",1
"12/16/2022, 09:44:05 AM",4
"12/16/2022, 09:44:07 AM",3
"12/16/2022, 09:44:30 AM",2

