"Time","t2shut::chipir:status"
"11/22/2022, 09:21:10 AM",1
"11/22/2022, 11:08:00 AM",3
"11/22/2022, 11:09:00 AM",2
"11/22/2022, 02:26:45 PM",3
"11/22/2022, 02:27:48 PM",1
"11/22/2022, 02:36:04 PM",3
"11/22/2022, 02:37:02 PM",2
"11/22/2022, 03:24:45 PM",3
"11/22/2022, 03:25:48 PM",1
"11/22/2022, 04:36:47 PM",3
"11/22/2022, 04:37:45 PM",2
"11/22/2022, 05:19:09 PM",3
"11/22/2022, 05:20:14 PM",1
"11/23/2022, 08:42:07 AM",3
"11/23/2022, 08:43:08 AM",2
"11/24/2022, 01:45:25 PM",3
"11/24/2022, 01:46:30 PM",1
"11/24/2022, 01:49:18 PM",3
"11/24/2022, 01:50:16 PM",2
"11/24/2022, 02:41:20 PM",3
"11/24/2022, 02:42:23 PM",1
"11/24/2022, 02:44:16 PM",3
"11/24/2022, 02:45:13 PM",2
"11/24/2022, 03:38:55 PM",3
"11/24/2022, 03:39:52 PM",1
"11/24/2022, 03:44:33 PM",3
"11/24/2022, 03:45:26 PM",2
"11/24/2022, 05:49:27 PM",3
"11/24/2022, 05:50:29 PM",1
"11/24/2022, 05:52:33 PM",3
"11/24/2022, 05:53:27 PM",2
"11/24/2022, 06:06:44 PM",3
"11/24/2022, 06:07:48 PM",1
"11/24/2022, 06:11:04 PM",3
"11/24/2022, 06:11:59 PM",2
"11/24/2022, 07:42:11 PM",3
"11/24/2022, 07:43:14 PM",1
"11/24/2022, 07:45:51 PM",3
"11/24/2022, 07:46:45 PM",2
"11/24/2022, 08:00:18 PM",3
"11/24/2022, 08:01:20 PM",1
"11/24/2022, 08:10:16 PM",3
"11/24/2022, 08:11:12 PM",2
"11/24/2022, 09:12:44 PM",3
"11/24/2022, 09:13:49 PM",1
"11/24/2022, 09:15:13 PM",3
"11/24/2022, 09:16:08 PM",2
"11/24/2022, 09:56:42 PM",3
"11/24/2022, 09:57:44 PM",1
"11/24/2022, 09:59:55 PM",3
"11/24/2022, 10:00:49 PM",2
"11/24/2022, 10:10:22 PM",3
"11/24/2022, 10:11:25 PM",1
"11/24/2022, 10:13:22 PM",3
"11/24/2022, 10:14:15 PM",2
"11/24/2022, 10:43:31 PM",3
"11/24/2022, 10:44:34 PM",1
"11/24/2022, 10:45:25 PM",3
"11/24/2022, 10:46:20 PM",2
"11/24/2022, 11:20:20 PM",3
"11/24/2022, 11:21:22 PM",1
"11/24/2022, 11:24:27 PM",3
"11/24/2022, 11:25:22 PM",2
"11/24/2022, 11:52:00 PM",3
"11/24/2022, 11:53:02 PM",1
"11/24/2022, 11:55:30 PM",3
"11/24/2022, 11:56:26 PM",2
"11/25/2022, 12:25:20 PM",3
"11/25/2022, 12:26:25 PM",1
"11/25/2022, 02:14:02 PM",3
"11/25/2022, 02:15:00 PM",2
"11/28/2022, 11:03:06 AM",3
"11/28/2022, 11:04:11 AM",4
"11/28/2022, 11:07:08 AM",1
"11/28/2022, 11:07:10 AM",4
"11/28/2022, 11:07:13 AM",1
"11/28/2022, 11:14:48 AM",3
"11/28/2022, 11:15:46 AM",2
"11/28/2022, 11:22:13 AM",3
"11/28/2022, 11:23:16 AM",1
"11/28/2022, 11:38:07 AM",3
"11/28/2022, 11:39:04 AM",2
"11/28/2022, 11:40:28 AM",3
"11/28/2022, 11:41:33 AM",1
"11/28/2022, 11:46:12 AM",3
"11/28/2022, 11:47:08 AM",2
"11/28/2022, 12:06:44 PM",3
"11/28/2022, 12:07:47 PM",1
"11/28/2022, 12:17:31 PM",3
"11/28/2022, 12:18:27 PM",2
"11/28/2022, 12:21:04 PM",3
"11/28/2022, 12:22:07 PM",1
"11/28/2022, 02:16:04 PM",3
"11/28/2022, 02:17:02 PM",2
"11/28/2022, 02:32:52 PM",3
"11/28/2022, 02:33:54 PM",1
"11/28/2022, 02:34:14 PM",3
"11/28/2022, 02:35:07 PM",2
"11/28/2022, 02:36:21 PM",3
"11/28/2022, 02:37:24 PM",1
"11/28/2022, 03:53:03 PM",3
"11/28/2022, 03:54:02 PM",2
"11/28/2022, 04:30:10 PM",3
"11/28/2022, 04:31:13 PM",1
"11/28/2022, 04:31:22 PM",3
"11/28/2022, 04:32:18 PM",2
"11/28/2022, 04:46:05 PM",3
"11/28/2022, 04:47:09 PM",1
"11/28/2022, 05:15:06 PM",3
"11/28/2022, 05:16:04 PM",2
"11/28/2022, 05:50:10 PM",3
"11/28/2022, 05:51:12 PM",1
"11/28/2022, 06:07:30 PM",3
"11/28/2022, 06:08:26 PM",2
"11/28/2022, 06:26:33 PM",3
"11/28/2022, 06:27:36 PM",1
"11/28/2022, 06:39:01 PM",3
"11/28/2022, 06:39:55 PM",2
"11/28/2022, 07:01:55 PM",3
"11/28/2022, 07:02:57 PM",1
"11/28/2022, 09:37:29 PM",3
"11/28/2022, 09:38:27 PM",2
"11/28/2022, 10:07:53 PM",3
"11/28/2022, 10:08:56 PM",1
"11/29/2022, 06:55:42 AM",3
"11/29/2022, 06:56:41 AM",2
"11/29/2022, 09:25:25 AM",3
"11/29/2022, 09:26:28 AM",1
"11/29/2022, 09:30:31 AM",3
"11/29/2022, 09:31:26 AM",2
"11/29/2022, 09:41:28 AM",3
"11/29/2022, 09:42:30 AM",1
"11/29/2022, 09:57:33 AM",3
"11/29/2022, 09:58:31 AM",2
"11/29/2022, 10:30:26 AM",3
"11/29/2022, 10:31:27 AM",1
"11/29/2022, 10:46:53 AM",3
"11/29/2022, 10:47:49 AM",2
"11/29/2022, 11:03:39 AM",3
"11/29/2022, 11:04:44 AM",1
"11/29/2022, 11:18:32 AM",3
"11/29/2022, 11:19:30 AM",2
"11/29/2022, 12:16:03 PM",3
"11/29/2022, 12:17:03 PM",1
"11/29/2022, 01:45:43 PM",3
"11/29/2022, 01:46:42 PM",2
"11/29/2022, 04:28:21 PM",3
"11/29/2022, 04:29:23 PM",1
"11/29/2022, 04:32:01 PM",3
"11/29/2022, 04:32:56 PM",2
"11/29/2022, 04:40:56 PM",3
"11/29/2022, 04:41:58 PM",1
"11/29/2022, 10:34:28 PM",3
"11/29/2022, 10:35:28 PM",2
"11/29/2022, 11:11:57 PM",3
"11/29/2022, 11:12:59 PM",1
"11/30/2022, 08:49:34 AM",3
"11/30/2022, 08:50:32 AM",2
"11/30/2022, 09:33:56 AM",3
"11/30/2022, 09:35:01 AM",1
"11/30/2022, 10:01:00 AM",3
"11/30/2022, 10:01:59 AM",2
"11/30/2022, 10:41:07 AM",3
"11/30/2022, 10:42:11 AM",1
"11/30/2022, 10:44:19 AM",3
"11/30/2022, 10:45:15 AM",2
"11/30/2022, 10:50:33 AM",3
"11/30/2022, 10:51:34 AM",1
"11/30/2022, 11:29:06 AM",3
"11/30/2022, 11:30:05 AM",2
"11/30/2022, 12:10:54 PM",4
"11/30/2022, 12:11:57 PM",1
"11/30/2022, 01:28:51 PM",3
"11/30/2022, 01:29:50 PM",2
"11/30/2022, 03:15:22 PM",3
"11/30/2022, 03:16:24 PM",1
"11/30/2022, 04:58:09 PM",3
"11/30/2022, 04:59:08 PM",2
"11/30/2022, 05:40:04 PM",3
"11/30/2022, 05:41:07 PM",1
"11/30/2022, 05:51:31 PM",3
"11/30/2022, 05:52:28 PM",2
"11/30/2022, 06:21:44 PM",3
"11/30/2022, 06:22:45 PM",1
"11/30/2022, 06:37:00 PM",3
"11/30/2022, 06:37:58 PM",2
"11/30/2022, 07:00:42 PM",3
"11/30/2022, 07:01:45 PM",1
"12/01/2022, 06:58:05 AM",3
"12/01/2022, 06:59:04 AM",2
"12/01/2022, 09:59:36 AM",3
"12/01/2022, 10:00:38 AM",1
"12/01/2022, 10:31:24 AM",3
"12/01/2022, 10:32:23 AM",2
"12/01/2022, 10:58:34 AM",3
"12/01/2022, 10:59:37 AM",1
"12/01/2022, 11:33:32 AM",3
"12/01/2022, 11:34:30 AM",2
"12/01/2022, 11:54:45 AM",3
"12/01/2022, 11:55:48 AM",1
"12/01/2022, 12:42:27 PM",3
"12/01/2022, 12:43:19 PM",2
"12/01/2022, 02:31:20 PM",3
"12/01/2022, 02:32:22 PM",1
"12/01/2022, 03:12:59 PM",3
"12/01/2022, 03:13:57 PM",2
"12/01/2022, 03:53:20 PM",3
"12/01/2022, 03:54:23 PM",1
"12/01/2022, 03:56:10 PM",3
"12/01/2022, 03:57:04 PM",2
"12/01/2022, 04:01:40 PM",3
"12/01/2022, 04:02:45 PM",1
"12/01/2022, 04:25:38 PM",3
"12/01/2022, 04:26:36 PM",2
"12/01/2022, 04:55:42 PM",3
"12/01/2022, 04:56:45 PM",1
"12/01/2022, 05:24:15 PM",3
"12/01/2022, 05:25:11 PM",2
"12/01/2022, 05:54:47 PM",3
"12/01/2022, 05:55:49 PM",1
"12/01/2022, 06:20:32 PM",3
"12/01/2022, 06:21:32 PM",2
"12/01/2022, 06:35:35 PM",3
"12/01/2022, 06:36:38 PM",1
"12/01/2022, 06:36:47 PM",3
"12/01/2022, 06:37:43 PM",2
"12/01/2022, 06:52:36 PM",3
"12/01/2022, 06:53:39 PM",1
"12/02/2022, 06:58:03 AM",3
"12/02/2022, 06:59:02 AM",2
"12/02/2022, 09:52:36 AM",3
"12/02/2022, 09:53:40 AM",1
"12/02/2022, 10:08:35 AM",3
"12/02/2022, 10:09:32 AM",2
"12/02/2022, 10:42:29 AM",3
"12/02/2022, 10:43:36 AM",1
"12/02/2022, 11:07:24 AM",3
"12/02/2022, 11:08:21 AM",2
"12/02/2022, 11:38:05 AM",3
"12/02/2022, 11:39:06 AM",1
"12/02/2022, 12:33:47 PM",3
"12/02/2022, 12:34:44 PM",2
"12/02/2022, 12:38:46 PM",3
"12/02/2022, 12:39:47 PM",1
"12/02/2022, 01:53:09 PM",3
"12/02/2022, 01:54:06 PM",2
"12/02/2022, 02:31:16 PM",3
"12/02/2022, 02:32:19 PM",1
"12/02/2022, 03:06:27 PM",3
"12/02/2022, 03:07:26 PM",2
"12/02/2022, 04:26:19 PM",3
"12/02/2022, 04:27:21 PM",1
"12/02/2022, 04:45:49 PM",3
"12/02/2022, 04:46:46 PM",2
"12/02/2022, 05:36:32 PM",3
"12/02/2022, 05:37:29 PM",1
"12/02/2022, 06:10:15 PM",3
"12/02/2022, 06:11:12 PM",2
"12/02/2022, 06:33:17 PM",3
"12/02/2022, 06:34:22 PM",1
"12/02/2022, 09:12:46 PM",3
