"Time","t2shut::w5:status"
"11/28/2022, 12:13:23 PM",2
"11/28/2022, 12:19:28 PM",3
"11/28/2022, 12:20:05 PM",1
"11/28/2022, 12:50:51 PM",3
"11/28/2022, 12:51:19 PM",2
"11/28/2022, 01:01:18 PM",3
"11/28/2022, 01:01:53 PM",1
"11/28/2022, 01:27:28 PM",3
"11/28/2022, 01:27:54 PM",2
"11/28/2022, 03:01:20 PM",3
"11/28/2022, 03:01:57 PM",1
"11/29/2022, 06:57:32 AM",3
"11/29/2022, 06:58:01 AM",2
"11/29/2022, 07:01:26 AM",3
"11/29/2022, 07:02:04 AM",1
"11/29/2022, 07:14:40 AM",3
"11/29/2022, 07:15:06 AM",2
"11/29/2022, 07:19:40 AM",3
"11/29/2022, 07:20:18 AM",1
"11/29/2022, 07:50:02 AM",4
"11/29/2022, 07:50:04 AM",3
"11/29/2022, 07:50:30 AM",2
"11/29/2022, 07:52:07 AM",3
"11/29/2022, 07:52:41 AM",1
"11/29/2022, 08:14:40 AM",3
"11/29/2022, 08:15:08 AM",2
"11/29/2022, 08:24:32 AM",4
"11/29/2022, 08:24:34 AM",3
"11/29/2022, 08:25:10 AM",1
"11/29/2022, 08:43:10 AM",3
"11/29/2022, 08:43:39 AM",2
"11/29/2022, 08:51:54 AM",3
"11/29/2022, 08:52:30 AM",1
"11/29/2022, 09:23:08 AM",3
"11/29/2022, 09:23:38 AM",2
"11/29/2022, 09:27:35 AM",3
"11/29/2022, 09:28:11 AM",1
"11/29/2022, 09:53:04 AM",4
"11/29/2022, 09:53:07 AM",3
"11/29/2022, 09:53:33 AM",2
"11/29/2022, 11:16:54 AM",3
"11/29/2022, 11:17:30 AM",1
"11/29/2022, 11:28:51 AM",3
"11/29/2022, 11:29:18 AM",2
"11/29/2022, 11:31:13 AM",3
"11/29/2022, 11:31:50 AM",1
"11/29/2022, 11:37:16 AM",3
"11/29/2022, 11:37:44 AM",2
"11/29/2022, 11:46:36 AM",3
"11/29/2022, 11:47:11 AM",1
"11/29/2022, 11:57:23 AM",3
"11/29/2022, 11:57:50 AM",2
"11/29/2022, 02:02:58 PM",3
"11/29/2022, 02:03:34 PM",1
"11/29/2022, 02:12:56 PM",3
"11/29/2022, 02:13:23 PM",2
"11/29/2022, 02:16:30 PM",3
"11/29/2022, 02:17:05 PM",1
"11/29/2022, 02:22:55 PM",3
"11/29/2022, 02:23:19 PM",2
"11/29/2022, 02:24:46 PM",3
"11/29/2022, 02:25:21 PM",1
"11/30/2022, 03:00:39 AM",3
"11/30/2022, 03:01:09 AM",2
"11/30/2022, 03:34:51 AM",3
"11/30/2022, 03:35:29 AM",1
"11/30/2022, 10:24:54 AM",3
"11/30/2022, 10:25:20 AM",2
"11/30/2022, 11:04:39 AM",3
"11/30/2022, 11:05:15 AM",1
"11/30/2022, 11:36:16 AM",3
"11/30/2022, 11:36:39 AM",2
"11/30/2022, 11:55:06 AM",3
"11/30/2022, 11:55:42 AM",1
"11/30/2022, 12:05:17 PM",3
"11/30/2022, 12:05:45 PM",2
"11/30/2022, 12:48:14 PM",3
"11/30/2022, 12:48:51 PM",1
"11/30/2022, 12:51:23 PM",3
"11/30/2022, 12:51:52 PM",2
"11/30/2022, 02:21:18 PM",3
"11/30/2022, 02:21:57 PM",1
"11/30/2022, 02:24:26 PM",3
"11/30/2022, 02:24:53 PM",2
"11/30/2022, 03:15:03 PM",3
"11/30/2022, 03:15:40 PM",1
"11/30/2022, 03:22:40 PM",3
"11/30/2022, 03:23:06 PM",2
"11/30/2022, 03:33:36 PM",3
"11/30/2022, 03:34:13 PM",1
"11/30/2022, 03:40:50 PM",3
"11/30/2022, 03:41:16 PM",2
"11/30/2022, 03:47:52 PM",3
"11/30/2022, 03:48:28 PM",1
"12/01/2022, 03:18:26 AM",3
"12/01/2022, 03:18:55 AM",2
"12/01/2022, 03:26:32 AM",3
"12/01/2022, 03:27:09 AM",1
"12/01/2022, 09:32:24 AM",4
"12/01/2022, 09:32:27 AM",3
"12/01/2022, 09:32:53 AM",2
"12/01/2022, 09:42:41 AM",3
"12/01/2022, 09:43:19 AM",1
"12/01/2022, 09:50:08 AM",3
"12/01/2022, 09:50:36 AM",2
"12/01/2022, 10:43:40 AM",3
"12/01/2022, 10:44:17 AM",1
"12/01/2022, 10:49:42 AM",3
"12/01/2022, 10:50:09 AM",2
"12/01/2022, 11:09:13 AM",3
"12/01/2022, 11:09:50 AM",1
"12/01/2022, 11:15:56 AM",3
"12/01/2022, 11:16:23 AM",2
"12/01/2022, 11:25:53 AM",3
"12/01/2022, 11:26:30 AM",1
"12/01/2022, 11:36:03 AM",3
"12/01/2022, 11:36:29 AM",2
"12/01/2022, 11:42:28 AM",3
"12/01/2022, 11:43:04 AM",1
"12/01/2022, 12:12:28 PM",3
"12/01/2022, 12:12:55 PM",2
"12/01/2022, 12:14:53 PM",3
"12/01/2022, 12:15:31 PM",1
"12/01/2022, 12:21:44 PM",3
"12/01/2022, 12:22:11 PM",2
"12/01/2022, 12:28:50 PM",3
"12/01/2022, 12:29:26 PM",1
"12/01/2022, 12:45:14 PM",3
"12/01/2022, 12:45:40 PM",2
"12/01/2022, 02:28:31 PM",3
"12/01/2022, 02:29:08 PM",1
"12/02/2022, 01:46:17 AM",3
"12/02/2022, 01:46:42 AM",2
"12/02/2022, 01:48:38 AM",3
"12/02/2022, 01:49:15 AM",1
"12/02/2022, 12:08:42 PM",3
"12/02/2022, 12:09:08 PM",2
"12/02/2022, 12:19:47 PM",3
"12/02/2022, 12:20:25 PM",1
"12/02/2022, 11:23:15 PM",3
"12/02/2022, 11:23:42 PM",2
"12/02/2022, 11:28:51 PM",3
"12/02/2022, 11:29:28 PM",1
"12/03/2022, 10:08:53 AM",3
"12/03/2022, 10:09:20 AM",2
"12/03/2022, 12:51:10 PM",3
"12/03/2022, 12:51:47 PM",1
"12/03/2022, 08:57:21 PM",3
"12/03/2022, 08:57:49 PM",2
"12/03/2022, 08:59:50 PM",3
"12/03/2022, 09:00:28 PM",1
"12/04/2022, 09:35:59 AM",3
"12/04/2022, 09:36:27 AM",2
"12/04/2022, 01:00:34 PM",3
"12/04/2022, 01:01:13 PM",1
"12/04/2022, 05:05:38 PM",3
"12/04/2022, 05:06:04 PM",2
