"Time","t2shut::nimrod:status"
"12/02/2022, 08:08:05 AM",3
"12/02/2022, 08:08:40 AM",1
"12/02/2022, 01:46:47 PM",3
"12/02/2022, 01:47:08 PM",2
"12/02/2022, 02:03:05 PM",3
"12/02/2022, 02:03:41 PM",1
"12/02/2022, 03:23:05 PM",3
"12/02/2022, 03:23:23 PM",2
"12/02/2022, 03:29:03 PM",3
"12/02/2022, 03:29:35 PM",1
"12/02/2022, 07:01:43 PM",3
"12/02/2022, 07:02:08 PM",2
"12/02/2022, 07:07:35 PM",3
"12/02/2022, 07:08:11 PM",1
"12/02/2022, 08:27:58 PM",3
"12/02/2022, 08:28:17 PM",2
"12/02/2022, 08:31:08 PM",3
"12/02/2022, 08:31:42 PM",1
"12/02/2022, 08:58:31 PM",3
"12/02/2022, 08:58:48 PM",2
"12/02/2022, 09:01:40 PM",3
"12/02/2022, 09:02:15 PM",1
"12/03/2022, 01:20:14 AM",3
"12/03/2022, 01:20:34 AM",2
"12/03/2022, 01:25:53 AM",3
"12/03/2022, 01:26:28 AM",1
"12/03/2022, 06:26:13 AM",3
"12/03/2022, 06:26:34 AM",2
"12/03/2022, 06:31:52 AM",3
"12/03/2022, 06:32:25 AM",1
"12/03/2022, 06:48:09 AM",3
"12/03/2022, 06:48:29 AM",2
"12/03/2022, 06:52:57 AM",3
"12/03/2022, 06:53:33 AM",1
"12/03/2022, 02:13:02 PM",3
"12/03/2022, 02:13:22 PM",2
"12/03/2022, 02:21:16 PM",3
"12/03/2022, 02:21:49 PM",1
"12/03/2022, 05:21:55 PM",3
"12/03/2022, 05:22:18 PM",2
"12/03/2022, 05:38:50 PM",3
"12/03/2022, 05:39:25 PM",1
"12/03/2022, 08:12:16 PM",3
"12/03/2022, 08:12:36 PM",2
"12/03/2022, 08:23:16 PM",3
"12/03/2022, 08:23:50 PM",1
"12/04/2022, 08:04:50 AM",4
"12/04/2022, 08:04:52 AM",3
"12/04/2022, 08:05:12 AM",2
"12/04/2022, 09:09:28 AM",3
"12/04/2022, 09:10:01 AM",1
"12/04/2022, 11:36:34 AM",3
"12/04/2022, 11:36:52 AM",2
"12/04/2022, 02:37:19 PM",3
"12/04/2022, 02:37:51 PM",1
"12/04/2022, 05:07:05 PM",3
"12/04/2022, 05:07:27 PM",2
"12/04/2022, 05:13:05 PM",3
"12/04/2022, 05:13:39 PM",1
"12/04/2022, 07:35:01 PM",3
"12/04/2022, 07:35:20 PM",2
"12/04/2022, 08:09:41 PM",3
"12/04/2022, 08:10:13 PM",1
"12/05/2022, 08:50:19 AM",3
"12/05/2022, 08:50:41 AM",2
"12/05/2022, 05:23:57 PM",3
"12/05/2022, 05:24:33 PM",1
"12/05/2022, 08:30:24 PM",3
"12/05/2022, 08:30:44 PM",2
"12/05/2022, 08:44:13 PM",3
"12/05/2022, 08:44:48 PM",1
"12/06/2022, 08:03:26 AM",3
"12/06/2022, 08:03:46 AM",2
"12/06/2022, 08:43:18 AM",3
"12/06/2022, 08:43:52 AM",1
"12/06/2022, 10:29:27 AM",3
"12/06/2022, 10:29:46 AM",2
"12/06/2022, 10:33:21 AM",3
"12/06/2022, 10:33:56 AM",1
"12/06/2022, 11:51:33 AM",3
"12/06/2022, 11:51:54 AM",2
"12/06/2022, 11:59:26 AM",3
"12/06/2022, 12:00:00 PM",1
"12/06/2022, 02:52:00 PM",3
"12/06/2022, 02:52:21 PM",2
"12/06/2022, 05:40:09 PM",3
"12/06/2022, 05:40:42 PM",1
"12/06/2022, 07:39:35 PM",3
"12/06/2022, 07:39:55 PM",2
"12/06/2022, 07:42:30 PM",3
"12/06/2022, 07:43:05 PM",1
"12/06/2022, 09:11:07 PM",3
"12/06/2022, 09:11:27 PM",2
"12/06/2022, 09:46:41 PM",3
"12/06/2022, 09:47:17 PM",1
"12/07/2022, 07:57:44 AM",3
"12/07/2022, 07:58:06 AM",2
"12/07/2022, 08:25:30 AM",3
"12/07/2022, 08:26:03 AM",1
"12/07/2022, 09:05:03 AM",3
"12/07/2022, 09:05:25 AM",2
"12/07/2022, 09:35:58 AM",3
"12/07/2022, 09:36:33 AM",1
"12/07/2022, 10:12:45 AM",3
"12/07/2022, 10:13:04 AM",2
"12/07/2022, 10:17:00 AM",3
"12/07/2022, 10:17:36 AM",1
"12/07/2022, 12:08:42 PM",3
"12/07/2022, 12:09:05 PM",2
"12/07/2022, 12:10:47 PM",3
"12/07/2022, 12:11:18 PM",1
"12/07/2022, 12:12:07 PM",3
"12/07/2022, 12:12:26 PM",2
"12/07/2022, 12:14:30 PM",3
"12/07/2022, 12:15:06 PM",1
"12/07/2022, 01:59:32 PM",3
"12/07/2022, 01:59:50 PM",2
"12/07/2022, 03:18:21 PM",3
"12/07/2022, 03:18:56 PM",1
"12/07/2022, 03:40:48 PM",3
"12/07/2022, 03:41:07 PM",2
"12/07/2022, 05:02:00 PM",3
"12/07/2022, 05:02:33 PM",1
"12/07/2022, 06:19:53 PM",3
"12/07/2022, 06:20:13 PM",2
"12/07/2022, 06:21:40 PM",3
"12/07/2022, 06:22:16 PM",1
"12/07/2022, 07:35:53 PM",3
"12/07/2022, 07:36:14 PM",2
"12/07/2022, 07:40:41 PM",3
"12/07/2022, 07:41:18 PM",1
"12/07/2022, 10:01:47 PM",3
"12/07/2022, 10:02:08 PM",2
"12/07/2022, 11:15:20 PM",3
"12/07/2022, 11:15:55 PM",1
"12/08/2022, 10:35:59 AM",3
"12/08/2022, 10:36:19 AM",2
"12/08/2022, 11:18:11 AM",3
"12/08/2022, 11:18:46 AM",1
"12/08/2022, 01:51:39 PM",3
"12/08/2022, 01:51:57 PM",2
"12/08/2022, 03:39:41 PM",3
"12/08/2022, 03:40:20 PM",1
"12/08/2022, 04:55:59 PM",3
"12/08/2022, 04:56:19 PM",2
"12/08/2022, 05:16:29 PM",3
"12/08/2022, 05:17:02 PM",1
"12/08/2022, 05:36:28 PM",3
"12/08/2022, 05:36:48 PM",2
"12/08/2022, 06:02:05 PM",3
"12/08/2022, 06:02:41 PM",1
"12/09/2022, 12:00:11 AM",3
"12/09/2022, 12:00:32 AM",2
"12/09/2022, 01:03:04 AM",3
"12/09/2022, 01:03:39 AM",1
"12/09/2022, 10:20:07 AM",3
"12/09/2022, 10:20:10 AM",2
"12/09/2022, 10:21:28 AM",3
"12/09/2022, 10:22:03 AM",1
"12/09/2022, 10:59:09 AM",3
"12/09/2022, 10:59:25 AM",2
"12/09/2022, 12:46:16 PM",3
"12/09/2022, 12:46:53 PM",1
"12/09/2022, 05:49:32 PM",3
"12/09/2022, 05:49:55 PM",2
"12/09/2022, 07:07:12 PM",3
"12/09/2022, 07:07:46 PM",1
"12/09/2022, 10:23:11 PM",3
"12/09/2022, 10:23:33 PM",2
"12/09/2022, 10:27:16 PM",3
"12/09/2022, 10:27:50 PM",1
"12/10/2022, 07:25:08 AM",3
"12/10/2022, 07:25:28 AM",2
"12/10/2022, 09:45:50 AM",3
"12/10/2022, 09:46:23 AM",1
"12/10/2022, 11:23:47 AM",3
"12/10/2022, 11:24:06 AM",2
"12/10/2022, 12:27:43 PM",3
"12/10/2022, 12:28:18 PM",1
"12/10/2022, 04:19:43 PM",3
"12/10/2022, 04:20:03 PM",2
"12/10/2022, 05:37:17 PM",3
"12/10/2022, 05:37:49 PM",1
"12/10/2022, 08:38:14 PM",3
"12/10/2022, 08:38:34 PM",2
"12/10/2022, 10:26:40 PM",3
"12/10/2022, 10:27:15 PM",1
"12/11/2022, 08:21:36 AM",3
"12/11/2022, 08:21:56 AM",2
"12/11/2022, 09:03:37 AM",3
"12/11/2022, 09:04:11 AM",1
"12/11/2022, 03:28:42 PM",3
"12/11/2022, 03:29:02 PM",2
"12/11/2022, 03:59:13 PM",3
"12/11/2022, 03:59:43 PM",1
"12/12/2022, 08:49:43 AM",3
"12/12/2022, 08:50:03 AM",2
"12/12/2022, 03:59:12 PM",3
"12/12/2022, 03:59:47 PM",1
"12/12/2022, 09:20:03 PM",3
