"Time","t2shut::inter:status"
"11/30/2022, 11:40:02 AM",3
"11/30/2022, 11:40:24 AM",2
"11/30/2022, 12:24:54 PM",3
"11/30/2022, 12:25:34 PM",1
"11/30/2022, 12:29:10 PM",3
"11/30/2022, 12:29:30 PM",2
"11/30/2022, 12:40:43 PM",3
"11/30/2022, 12:41:24 PM",1
"11/30/2022, 03:22:05 PM",3
"11/30/2022, 03:22:26 PM",2
"11/30/2022, 03:52:24 PM",3
"11/30/2022, 03:53:04 PM",1
"11/30/2022, 05:23:46 PM",3
"11/30/2022, 05:24:08 PM",2
"11/30/2022, 05:43:34 PM",3
"11/30/2022, 05:44:11 PM",1
"12/01/2022, 09:19:13 AM",3
"12/01/2022, 09:19:35 AM",2
"12/01/2022, 10:26:20 AM",3
"12/01/2022, 10:27:01 AM",1
"12/01/2022, 11:18:07 AM",3
"12/01/2022, 11:18:27 AM",2
"12/01/2022, 11:20:03 AM",3
"12/01/2022, 11:20:44 AM",1
"12/01/2022, 01:30:34 PM",3
"12/01/2022, 01:30:54 PM",2
"12/01/2022, 01:33:15 PM",3
"12/01/2022, 01:33:51 PM",1
"12/01/2022, 03:47:02 PM",3
"12/01/2022, 03:47:23 PM",2
"12/01/2022, 04:22:13 PM",3
"12/01/2022, 04:22:52 PM",1
"12/02/2022, 11:47:23 AM",3
"12/02/2022, 11:47:44 AM",2
"12/02/2022, 12:03:45 PM",3
"12/02/2022, 12:04:29 PM",1
"12/02/2022, 01:13:52 PM",3
"12/02/2022, 01:14:13 PM",2
"12/02/2022, 01:19:28 PM",3
"12/02/2022, 01:20:07 PM",1
"12/03/2022, 01:58:01 AM",3
"12/03/2022, 01:58:25 AM",2
"12/03/2022, 02:03:30 AM",3
"12/03/2022, 02:04:11 AM",1
"12/03/2022, 03:15:01 AM",3
"12/03/2022, 03:15:21 AM",2
"12/03/2022, 03:21:26 AM",3
"12/03/2022, 03:22:11 AM",1
"12/03/2022, 04:19:58 PM",3
"12/03/2022, 04:20:18 PM",2
"12/03/2022, 04:42:43 PM",3
"12/03/2022, 04:43:22 PM",1
"12/03/2022, 06:16:05 PM",3
"12/03/2022, 06:16:25 PM",2
"12/03/2022, 06:29:26 PM",3
"12/03/2022, 06:30:04 PM",1
"12/03/2022, 11:04:16 PM",3
"12/03/2022, 11:04:37 PM",2
"12/03/2022, 11:14:49 PM",3
"12/03/2022, 11:15:30 PM",1
"12/04/2022, 09:39:11 AM",3
"12/04/2022, 09:39:30 AM",2
"12/04/2022, 10:56:37 AM",3
"12/04/2022, 10:57:18 AM",1
"12/04/2022, 11:55:40 AM",3
"12/04/2022, 11:56:00 AM",2
"12/04/2022, 11:57:09 AM",3
"12/04/2022, 11:57:50 AM",1
"12/04/2022, 09:10:08 PM",3
"12/04/2022, 09:10:27 PM",2
"12/04/2022, 09:45:58 PM",3
"12/04/2022, 09:46:33 PM",1
"12/04/2022, 10:11:36 PM",3
"12/04/2022, 10:11:57 PM",2
"12/04/2022, 10:15:53 PM",3
"12/04/2022, 10:16:35 PM",1
"12/04/2022, 11:05:47 PM",3
"12/04/2022, 11:06:02 PM",2
"12/04/2022, 11:10:00 PM",3
"12/04/2022, 11:10:42 PM",1
"12/04/2022, 11:36:10 PM",3
"12/04/2022, 11:36:32 PM",2
"12/04/2022, 11:42:39 PM",3
"12/04/2022, 11:43:21 PM",1
"12/05/2022, 12:31:56 AM",3
"12/05/2022, 12:32:16 AM",2
"12/05/2022, 12:40:39 AM",3
"12/05/2022, 12:41:22 AM",1
"12/05/2022, 12:58:55 AM",3
"12/05/2022, 12:59:16 AM",2
"12/05/2022, 01:07:10 AM",3
"12/05/2022, 01:07:51 AM",1
"12/05/2022, 01:20:47 AM",3
"12/05/2022, 01:21:07 AM",2
"12/05/2022, 01:22:02 AM",3
"12/05/2022, 01:22:44 AM",1
"12/05/2022, 12:34:52 PM",3
"12/05/2022, 12:35:21 PM",2
"12/05/2022, 12:50:27 PM",3
